freezer,temp,shelf,rack,pullout,insert,row,column,pullout_label,box_label,description,type,item_id
B,-80,8,3,3,2,1,1,,,,strains,J1826
B,-80,8,3,3,2,1,2,,,,strains,J1827
B,-80,8,3,3,2,1,3,,,,strains,J1828
B,-80,8,3,3,2,1,4,,,,strains,J1829
B,-80,8,3,3,2,1,5,,,,strains,J1830
B,-80,8,3,3,2,1,6,,,,strains,J1831
B,-80,8,3,3,2,1,7,,,,strains,J1832
B,-80,8,3,3,2,1,8,,,,strains,J1833
B,-80,8,3,3,2,2,1,,,,strains,J1834
B,-80,8,3,3,2,2,2,,,,strains,J1835
B,-80,8,3,3,2,2,3,,,,strains,J1836
B,-80,8,3,3,2,2,4,,,,strains,J1837
B,-80,8,3,3,2,2,5,,,,strains,J1838
B,-80,8,3,3,2,2,6,,,,strains,J1839
B,-80,8,3,3,2,2,7,,,,strains,J1840
B,-80,8,3,3,2,2,8,,,,strains,J1841
B,-80,8,3,3,2,3,1,,,,strains,J1842
B,-80,8,3,3,2,3,2,,,,strains,J1843
B,-80,8,3,3,2,3,3,,,,strains,J1844
B,-80,8,3,3,2,3,4,,,,,
B,-80,8,3,3,2,3,5,,,,,
B,-80,8,3,3,2,3,6,,,,,
B,-80,8,3,3,2,3,7,,,,,
B,-80,8,3,3,2,3,8,,,,,
B,-80,8,3,3,2,4,1,,,,,
B,-80,8,3,3,2,4,2,,,,,
B,-80,8,3,3,2,4,3,,,,,
B,-80,8,3,3,2,4,4,,,,,
B,-80,8,3,3,2,4,5,,,,,
B,-80,8,3,3,2,4,6,,,,,
B,-80,8,3,3,2,4,7,,,,,
B,-80,8,3,3,2,4,8,,,,,
B,-80,8,3,3,2,5,1,,,,,
B,-80,8,3,3,2,5,2,,,,,
B,-80,8,3,3,2,5,3,,,,,
B,-80,8,3,3,2,5,4,,,,,
B,-80,8,3,3,2,5,5,,,,,
B,-80,8,3,3,2,5,6,,,,,
B,-80,8,3,3,2,5,7,,,,,
B,-80,8,3,3,2,5,8,,,,,
B,-80,8,3,3,2,6,1,,,,,
B,-80,8,3,3,2,6,2,,,,,
B,-80,8,3,3,2,6,3,,,,,
B,-80,8,3,3,2,6,4,,,,,
B,-80,8,3,3,2,6,5,,,,,
B,-80,8,3,3,2,6,6,,,,,
B,-80,8,3,3,2,6,7,,,,,
B,-80,8,3,3,2,6,8,,,,,
B,-80,8,3,3,2,7,1,,,,,
B,-80,8,3,3,2,7,2,,,,,
B,-80,8,3,3,2,7,3,,,,,
B,-80,8,3,3,2,7,4,,,,,
B,-80,8,3,3,2,7,5,,,,,
B,-80,8,3,3,2,7,6,,,,,
B,-80,8,3,3,2,7,7,,,,,
B,-80,8,3,3,2,7,8,,,,,
B,-80,8,3,3,2,8,1,,,,,
B,-80,8,3,3,2,8,2,,,,,
B,-80,8,3,3,2,8,3,,,,,
B,-80,8,3,3,2,8,4,,,,,
B,-80,8,3,3,2,8,5,,,,,
B,-80,8,3,3,2,8,6,,,,,
B,-80,8,3,3,2,8,7,,,,,
B,-80,8,3,3,2,8,8,,,,,
