strain_id,strain_name,strain_description,parents,background,mat,genotype,allele_id,gene_id,freezer,shelf,rack,pullout,insert,row,column,owner,date,publications,tags,strain_notes,warnings,filemaker
J1660,rad5,rad5::KanMX in SGA Query Background,R1266,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rad5::KanMX,S000004022-KanMX,S000004022,-80C #2,,,,,,,,,,SGA-Query-KAN,,,
J1661,rad5,rad5::NatMX in SGA Query Background,J1660,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rad5::NatMX,S000004022-NatMX,S000004022,-80C #2,6,3,4,3,2,8,Ivana Sunjevaric,2011-11-18,,SGA-Query-NAT & Project-Cisplatin,,Not yet validated with gene internal.,TRUE
J1662,rad18,rad18::KanMX in SGA Query Background,R1266,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rad18::KanMX,S000000662-KanMX,S000000662,-80C #2,,,,,,,,,,SGA-Query-KAN,,,
J1663,rad18,rad18::NatMX in SGA Query Background,J1662,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rad18::NatMX,S000000662-NatMX,S000000662,-80C #2,6,3,4,3,3,2,Ivana Sunjevaric,2011-11-18,,SGA-Query-NAT & Project-Cisplatin,,Not yet validated with gene internal.,TRUE
J1664,siz1,siz1::KanMX in SGA Query Background,R1266,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 siz1::KanMX,S000002817-KanMX,S000002817,-80C #2,,,,,,,,,,SGA-Query-KAN,,,
J1665,siz1,siz1::NatMX in SGA Query Background,J1664,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 siz1::NatMX,S000002817-NatMX,S000002817,-80C #2,,,,,,,,,,SGA-Query-NAT & Project-Cisplatin,,,
J1666,rad14,rad14::KanMX in SGA Query Background,R1266,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rad14::KanMX,S000004814-KanMX,S000004814,-80C #2,,,,,,,,,,SGA-Query-KAN,,,
J1667,rad14,rad14::NatMX in SGA Query Background,J1666,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rad14::NatMX,S000004814-NatMX,S000004814,-80C #2,6,3,4,3,3,6,Ivana Sunjevaric,2012-09-18,,SGA-Query-NAT & Project-Cisplatin,,Not yet validated with gene internal. Need to get Distal primers from Ivana.,TRUE
J1668,rev1,rev1::KanMX in SGA Query Background,R1266,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rev1::KanMX,S000005873-KanMX,S000005873,-80C #2,,,,,,,,,,SGA-Query-KAN,,,
J1669,rev1,rev1::NatMX in SGA Query Background,J1668,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rev1::NatMX,S000005873-NatMX,S000005873,-80C #2,6,3,4,3,3,8,Ivana Sunjevaric,2012-09-18,,SGA-Query-NAT & Project-Cisplatin,,Not yet validated with gene internal. Need to get Distal primers from Ivana.,TRUE
J1670,hrq1,hrq1::KanMX in SGA Query Background,R1266,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 hrq1::KanMX,S000002699-KanMX,S000002699,-80C #2,,,,,,,,,,SGA-Query-KAN,,,
J1671,hrq1,hrq1::NatMX in SGA Query Background,J1670,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 hrq1::NatMX,S000002699-NatMX,S000002699,-80C #2,6,3,3,3,1,8,Ivana Sunjevaric,2012-03-06,,SGA-Query-NAT & Project-Cisplatin,,Not yet validated with gene internal.,TRUE
J1672,rad61,rad61::KanMX in SGA Query Background,R1266,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rad61::KanMX,S000002421-KanMX,S000002421,-80C #2,,,,,,,,,,SGA-Query-KAN,,,
J1673,rad61,rad61::NatMX in SGA Query Background,J1672,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rad61::NatMX,S000002421-NatMX,S000002421,-80C #2,6,3,3,3,2,2,Ivana Sunjevaric,2012-03-06,,SGA-Query-NAT & Project-Cisplatin,,Not yet validated with gene internal. Need to get Distal primers from Ivana.,TRUE
J1674,chl1,chl1::KanMX in SGA Query Background,R1266,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 chl1::KanMX,S000005929-KanMX,S000005929,-80C #2,,,,,,,,,,SGA-Query-KAN,,,
J1675,,,,,,,,,,,,,,,,,,,,,,
J1676,mlh3,mlh3::KanMX in SGA Query Background,R1266,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 mlh3::KanMX,S000006085-KanMX,S000006085,-80C #2,,,,,,,,,,SGA-Query-KAN,,,
J1677,mlh3,mlh3::NatMX in SGA Query Background,J1676,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 mlh3::NatMX,S000006085-NatMX,S000006085,-80C #2,6,3,3,3,2,6,Ivana Sunjevaric,2012-03-06,,SGA-Query-NAT & Project-Cisplatin,,Not yet validated with gene internal. Need to get Distal primers from Ivana.,TRUE
J1678,slx4,slx4::KanMX in SGA Query Background,R1266,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 slx4::KanMX,S000004125-KanMX,S000004125,-80C #2,,,,,,,,,,SGA-Query-KAN,,,
J1679,slx4,slx4::NatMX in SGA Query Background,J1678,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 slx4::NatMX,S000004125-NatMX,S000004125,-80C #2,6,3,3,3,2,8,Ivana Sunjevaric,2012-03-06,,SGA-Query-NAT & Project-Cisplatin,,Not yet validated with gene internal. Need to get Distal primers from Ivana.,TRUE
J1680,rad1,rad1::KanMX in SGA Query Background,R1266,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rad1::KanMX,S000005943-KanMX,S000005943,-80C #2,,,,,,,,,,SGA-Query-KAN,,,
J1681,rad1,rad1::NatMX in SGA Query Background,J1680,BY (S288C),alpha,can1∆::STE2pr-Sp_his5 lyp1∆::STE3pr-LEU2 his3∆1 leu2∆0 ura3∆0 met15∆0 rad1::NatMX,S000005943-NatMX,S000005943,-80C #2,6,3,3,3,3,2,Ivana Sunjevaric,2012-03-06,,SGA-Query-NAT & Project-Cisplatin,,Not yet validated with gene internal. Need to get Distal primers from Ivana.,TRUE
