strain_id,strain_name,strain_description,parents,background,mat,genotype,allele_id,gene_id,freezer,shelf,rack,pullout,insert,row,column,owner,date,publications,tags,strain_notes,warnings,filemaker
rec145,bud25,a-haploid KanMX disruption of BUD25 (S000007590) in BY background,NA,BY4741,a,NA,S000007590-KanMX,S000007590,,,,,,,,,,,,super slow growth,,
rec405,vps8,a-haploid KanMX disruption of VPS8 (S000000002),NA,BY4741,a,NA,S000000002-KanMX,S000000002,,,,,,,,,,,,NA,,
rec3986,tpi1,a-haploid KanMX disruption of TPI1 (S000002457),NA,BY4741,a,NA,S000002457-KanMX,S000002457,,,,,,,,,,,,NA,,
rec1293,yjl132w,a-haploid KanMX disruption of YJL132W (S000003668),NA,BY4741,a,NA,S000003668-KanMX,S000003668,,,,,,,,,,,,NA,,
rec3445,atg22,a-haploid KanMX disruption of ATG22 (S000000543),NA,BY4741,a,NA,S000000543-KanMX,S000000543,,,,,,,,,,,,NA,,
rec10405,vps8,alpha-haploid KanMX disruption of VPS8 (S000000002),NA,BY4739,alpha,NA,S000000002-KanMX,S000000002,,,,,,,,,,,,NA,,
rec13411,pgs1,alpha-haploid KanMX disruption of PGS1 (S000000510),NA,BY4742,alpha,NA,S000000510-KanMX,S000000510,,,,,,,,,,,,NA,,
rec13445,atg22,alpha-haploid KanMX disruption of ATG22 (S000000543),NA,BY4742,alpha,NA,S000000543-KanMX,S000000543,,,,,,,,,,,,NA,,
rec147,bim1,a-haploid KanMX disruption of BIM1 (S000000818) in BY background,NA,BY4741,a,NA,S000000818-KanMX,S000000818,,,,,,,,,,,,NA,,
rec148,afg3,a-haploid KanMX disruption of AFG3 (S000000819) in BY background,NA,BY4741,a,NA,S000000819-KanMX,S000000819,,,,,,,,,,,,NA,,
rec150,isc1,a-haploid KanMX disruption of ISC1 (S000000821) in BY background,NA,BY4741,a,NA,S000000821-KanMX,S000000821,,,,,,,,,,,,NA,,
rec151,sbh2,a-haploid KanMX disruption of SBH2 (S000002127) in BY background,NA,BY4741,a,NA,S000002127-KanMX,S000002127,,,,,,,,,,,,NA,,
rec152,gpa2,a-haploid KanMX disruption of GPA2 (S000000822) in BY background,NA,BY4741,a,NA,S000000822-KanMX,S000000822,,,,,,,,,,,,NA,,
rec156,yat2,a-haploid KanMX disruption of YAT2 (S000000826) in BY background,NA,BY4741,a,NA,S000000826-KanMX,S000000826,,,,,,,,,,,,NA,,
rec160,mig3,a-haploid KanMX disruption of MIG3 (S000000830) in BY background,NA,BY4741,a,NA,S000000830-KanMX,S000000830,,,,,,,,,,,,NA,,
rec162,chz1,a-haploid KanMX disruption of CHZ1 (S000000832) in BY background,NA,BY4741,a,NA,S000000832-KanMX,S000000832,,,,,,,,,,,,NA,,
rec164,fir1,a-haploid KanMX disruption of FIR1 (S000000834) in BY background,NA,BY4741,a,NA,S000000834-KanMX,S000000834,,,,,,,,,,,,NA,,
rec165,zrg8,a-haploid KanMX disruption of ZRG8 (S000000835) in BY background,NA,BY4741,a,NA,S000000835-KanMX,S000000835,,,,,,,,,,,,NA,,
rec166,yer034w,a-haploid KanMX disruption of YER034W (S000000836) in BY background,NA,BY4741,a,NA,S000000836-KanMX,S000000836,,,,,,,,,,,,NA,,
rec167,edc2,a-haploid KanMX disruption of EDC2 (S000000837) in BY background,NA,BY4741,a,NA,S000000837-KanMX,S000000837,,,,,,,,,,,,NA,,
rec171,yer038w-a,a-haploid KanMX disruption of YER038W-A (S000028746) in BY background,NA,BY4741,a,NA,S000028746-KanMX,S000028746,,,,,,,,,,,,NA,,
rec172,hvg1,a-haploid KanMX disruption of HVG1 (S000000841) in BY background,NA,BY4741,a,NA,S000000841-KanMX,S000000841,,,,,,,,,,,,NA,,
rec173,gln3,a-haploid KanMX disruption of GLN3 (S000000842) in BY background,NA,BY4741,a,NA,S000000842-KanMX,S000000842,,,,,,,,,,,,NA,,
rec174,yen1,a-haploid KanMX disruption of YEN1 (S000000843) in BY background,NA,BY4741,a,NA,S000000843-KanMX,S000000843,-80C #2,8,4,3,4,2,8,Alice Serafin,2018-05-29,,,PCR successful with KanMX-int5'-R (511) + PF (685) and KanMX-int3'-F (512) + PR (686),,TRUE
rec175,mxr1,a-haploid KanMX disruption of MXR1 (S000000844) in BY background,NA,BY4741,a,NA,S000000844-KanMX,S000000844,,,,,,,,,,,,NA,,
rec177,erg28,a-haploid KanMX disruption of ERG28 (S000000846) in BY background,NA,BY4741,a,NA,S000000846-KanMX,S000000846,,,,,,,,,,,,"slow growth, no growth on drop-in media",,
rec178,mei4,a-haploid KanMX disruption of MEI4 (S000001954) in BY background,NA,BY4741,a,NA,S000001954-KanMX,S000001954,,,,,,,,,,,,NA,,
rec179,aca1,a-haploid KanMX disruption of ACA1 (S000000847) in BY background,NA,BY4741,a,NA,S000000847-KanMX,S000000847,,,,,,,,,,,,NA,,
rec181,yer046w-a,a-haploid KanMX disruption of YER046W-A (S000028747) in BY background,NA,BY4741,a,NA,S000028747-KanMX,S000028747,,,,,,,,,,,,NA,,
rec182,sap1,a-haploid KanMX disruption of SAP1 (S000000849) in BY background,NA,BY4741,a,NA,S000000849-KanMX,S000000849,,,,,,,,,,,,NA,,
rec183,caj1,a-haploid KanMX disruption of CAJ1 (S000000850) in BY background,NA,BY4741,a,NA,S000000850-KanMX,S000000850,,,,,,,,,,,,NA,,
rec184,tpa1,a-haploid KanMX disruption of TPA1 (S000000851) in BY background,NA,BY4741,a,NA,S000000851-KanMX,S000000851,,,,,,,,,,,,NA,,
rec185,rsm18,a-haploid KanMX disruption of RSM18 (S000000852) in BY background,NA,BY4741,a,NA,S000000852-KanMX,S000000852,,,,,,,,,,,,NA,,
rec186,jhd1,a-haploid KanMX disruption of JHD1 (S000000853) in BY background,NA,BY4741,a,NA,S000000853-KanMX,S000000853,,,,,,,,,,,,NA,,
rec187,hom3,a-haploid KanMX disruption of HOM3 (S000000854) in BY background,NA,BY4741,a,NA,S000000854-KanMX,S000000854,,,,,,,,,,,,NA,,
rec188,pic2,a-haploid KanMX disruption of PIC2 (S000000855) in BY background,NA,BY4741,a,NA,S000000855-KanMX,S000000855,,,,,,,,,,,,NA,,
rec189,gip2,a-haploid KanMX disruption of GIP2 (S000000856) in BY background,NA,BY4741,a,NA,S000000856-KanMX,S000000856,,,,,,,,,,,,NA,,
rec190,his1,a-haploid KanMX disruption of HIS1 (S000000857) in BY background,NA,BY4741,a,NA,S000000857-KanMX,S000000857,,,,,,,,,,,,NA,,
rec191,fcy2,a-haploid KanMX disruption of FCY2 (S000000858) in BY background,NA,BY4741,a,NA,S000000858-KanMX,S000000858,,,,,,,,,,,,NA,,
rec192,rpl34a,a-haploid KanMX disruption of RPL34A (S000002135) in BY background,NA,BY4741,a,NA,S000002135-KanMX,S000002135,,,,,,,,,,,,NA,,
rec193,hmf1,a-haploid KanMX disruption of HMF1 (S000000859) in BY background,NA,BY4741,a,NA,S000000859-KanMX,S000000859,,,,,,,,,,,,NA,,
rec194,pet117,a-haploid KanMX disruption of PET117 (S000000860) in BY background,NA,BY4741,a,NA,S000000860-KanMX,S000000860,,,,,,,,,,,,NA,,
rec195,pcl6,a-haploid KanMX disruption of PCL6 (S000000861) in BY background,NA,BY4741,a,NA,S000000861-KanMX,S000000861,,,,,,,,,,,,NA,,
rec196,fcy21,a-haploid KanMX disruption of FCY21 (S000000862) in BY background,NA,BY4741,a,NA,S000000862-KanMX,S000000862,,,,,,,,,,,,NA,,
rec197,fcy22,a-haploid KanMX disruption of FCY22 (S000002958) in BY background,NA,BY4741,a,NA,S000002958-KanMX,S000002958,,,,,,,,,,,,"similar to Fcy2p -- growth on -met, no growth on -lys, no growth on drop-in media",,
rec198,cem1,a-haploid KanMX disruption of CEM1 (S000000863) in BY background,NA,BY4741,a,NA,S000000863-KanMX,S000000863,,,,,,,,,,,,NA,,
rec199,gpp2,a-haploid KanMX disruption of GPP2 (S000000864) in BY background,NA,BY4741,a,NA,S000000864-KanMX,S000000864,,,,,,,,,,,,NA,,
rec202,icl1,a-haploid KanMX disruption of ICL1 (S000000867) in BY background,NA,BY4741,a,NA,S000000867-KanMX,S000000867,,,,,,,,,,,,NA,,
rec204,yer066c-a,a-haploid KanMX disruption of YER066C-A (S000002959) in BY background,NA,BY4741,a,NA,S000002959-KanMX,S000002959,,,,,,,,,,,,NA,,
rec205,rgi1,a-haploid KanMX disruption of RGI1 (S000000869) in BY background,NA,BY4741,a,NA,S000000869-KanMX,S000000869,,,,,,,,,,,,NA,,
rec206,yer067c-a,a-haploid KanMX disruption of YER067C-A (S000028748) in BY background,NA,BY4741,a,NA,S000028748-KanMX,S000028748,,,,,,,,,,,,NA,,
rec207,mot2,a-haploid KanMX disruption of MOT2 (S000000870) in BY background,NA,BY4741,a,NA,S000000870-KanMX,S000000870,,,,,,,,,,,,NA,,
rec208,yer068c-a,a-haploid KanMX disruption of YER068C-A (S000028749) in BY background,NA,BY4741,a,NA,S000028749-KanMX,S000028749,,,,,,,,,,,,NA,,
rec209,"arg5,6","a-haploid KanMX disruption of ARG5,6 (S000000871) in BY background",NA,BY4741,a,NA,S000000871-KanMX,S000000871,,,,,,,,,,,,NA,,
rec210,rnr1,a-haploid KanMX disruption of RNR1 (S000000872) in BY background,NA,BY4741,a,NA,S000000872-KanMX,S000000872,,,,,,,,,,,,slow grow,,
rec211,tda2,a-haploid KanMX disruption of TDA2 (S000000873) in BY background,NA,BY4741,a,NA,S000000873-KanMX,S000000873,,,,,,,,,,,,NA,,
rec212,vtc1,a-haploid KanMX disruption of VTC1 (S000000874) in BY background,NA,BY4741,a,NA,S000000874-KanMX,S000000874,,,,,,,,,,,,NA,,
rec213,ald5,a-haploid KanMX disruption of ALD5 (S000000875) in BY background,NA,BY4741,a,NA,S000000875-KanMX,S000000875,,,,,,,,,,,,NA,,
rec214,rps24a,a-haploid KanMX disruption of RPS24A (S000000876) in BY background,NA,BY4741,a,NA,S000000876-KanMX,S000000876,,,,,,,,,,,,NA,,
rec215,ptp3,a-haploid KanMX disruption of PTP3 (S000000877) in BY background,NA,BY4741,a,NA,S000000877-KanMX,S000000877,,,,,,,,,,,,NA,,
rec219,yer079w,a-haploid KanMX disruption of YER079W (S000000881) in BY background,NA,BY4741,a,NA,S000000881-KanMX,S000000881,,,,,,,,,,,,NA,,
rec220,aim9,a-haploid KanMX disruption of AIM9 (S000000882) in BY background,NA,BY4741,a,NA,S000000882-KanMX,S000000882,,,,,,,,,,,,NA,,
rec221,ser3,a-haploid KanMX disruption of SER3 (S000000883) in BY background,NA,BY4741,a,NA,S000000883-KanMX,S000000883,,,,,,,,,,,,NA,,
rec223,get2,a-haploid KanMX disruption of GET2 (S000000885) in BY background,NA,BY4741,a,NA,S000000885-KanMX,S000000885,,,,,,,,,,,,NA,,
rec224,yer084w,a-haploid KanMX disruption of YER084W (S000000886) in BY background,NA,BY4741,a,NA,S000000886-KanMX,S000000886,,,,,,,,,,,,NA,,
rec225,yer085c,a-haploid KanMX disruption of YER085C (S000000887) in BY background,NA,BY4741,a,NA,S000000887-KanMX,S000000887,,,,,,,,,,,,NA,,
rec226,ilv1,a-haploid KanMX disruption of ILV1 (S000000888) in BY background,NA,BY4741,a,NA,S000000888-KanMX,S000000888,,,,,,,,,,,,NA,,
rec227,aim10,a-haploid KanMX disruption of AIM10 (S000000889) in BY background,NA,BY4741,a,NA,S000000889-KanMX,S000000889,,,,,,,,,,,,"slow growth, petite, no growth on -met, slow growth on -lys OK",,
rec228,yer087c-a,a-haploid KanMX disruption of YER087C-A (S000028753) in BY background,NA,BY4741,a,NA,S000028753-KanMX,S000028753,,,,,,,,,,,,NA,,
rec241,irc22,a-haploid KanMX disruption of IRC22 (S000000727) in BY background,NA,BY4741,a,NA,S000000727-KanMX,S000000727,,,,,,,,,,,,NA,,
rec243,gim4,a-haploid KanMX disruption of GIM4 (S000000729) in BY background,NA,BY4741,a,NA,S000000729-KanMX,S000000729,,,,,,,,,,,,NA,,
rec244,yea4,a-haploid KanMX disruption of YEA4 (S000000730) in BY background,NA,BY4741,a,NA,S000000730-KanMX,S000000730,,,,,,,,,,,,"Similar to K. lactis golgi uridine diphosphate-N-acetylglucosamine transporter -- growth on -met, no growth on -lys, no growth on drop-in media, confirmed alpha -- CORRECT STRAIN CAN BE FOUND IN PLATE 121 D6",,
rec245,vab2,a-haploid KanMX disruption of VAB2 (S000000731) in BY background,NA,BY4741,a,NA,S000000731-KanMX,S000000731,,,,,,,,,,,,NA,,
rec246,yea6,a-haploid KanMX disruption of YEA6 (S000000732) in BY background,NA,BY4741,a,NA,S000000732-KanMX,S000000732,,,,,,,,,,,,NA,,
rec247,mit1,a-haploid KanMX disruption of MIT1 (S000000733) in BY background,NA,BY4741,a,NA,S000000733-KanMX,S000000733,,,,,,,,,,,,NA,,
rec248,yel008w,a-haploid KanMX disruption of YEL008W (S000000734) in BY background,NA,BY4741,a,NA,S000000734-KanMX,S000000734,,,,,,,,,,,,NA,,
rec249,gcn4,a-haploid KanMX disruption of GCN4 (S000000735) in BY background,NA,BY4741,a,NA,S000000735-KanMX,S000000735,,,,,,,,,,,,NA,,
rec250,yel010w,a-haploid KanMX disruption of YEL010W (S000000736) in BY background,NA,BY4741,a,NA,S000000736-KanMX,S000000736,,,,,,,,,,,,NA,,
rec253,vac8,a-haploid KanMX disruption of VAC8 (S000000739) in BY background,NA,BY4741,a,NA,S000000739-KanMX,S000000739,,,,,,,,,,,,NA,,
rec254,yel014c,a-haploid KanMX disruption of YEL014C (S000000740) in BY background,NA,BY4741,a,NA,S000000740-KanMX,S000000740,,,,,,,,,,,,NA,,
rec255,edc3,a-haploid KanMX disruption of EDC3 (S000000741) in BY background,NA,BY4741,a,NA,S000000741-KanMX,S000000741,,,,,,,,,,,,NA,,
rec256,npp2,a-haploid KanMX disruption of NPP2 (S000000742) in BY background,NA,BY4741,a,NA,S000000742-KanMX,S000000742,,,,,,,,,,,,NA,,
rec257,pmp2,a-haploid KanMX disruption of PMP2 (S000002103) in BY background,NA,BY4741,a,NA,S000002103-KanMX,S000002103,,,,,,,,,,,,NA,,
rec258,gtt3,a-haploid KanMX disruption of GTT3 (S000000743) in BY background,NA,BY4741,a,NA,S000000743-KanMX,S000000743,,,,,,,,,,,,NA,,
rec259,eaf5,a-haploid KanMX disruption of EAF5 (S000000744) in BY background,NA,NA,a,NA,S000000744-KanMX,S000000744,,,,,,,,,,,,NA,,
rec261,yel020c,a-haploid KanMX disruption of YEL020C (S000000746) in BY background,NA,BY4741,a,NA,S000000746-KanMX,S000000746,,,,,,,,,,,,NA,,
rec264,yel023c,a-haploid KanMX disruption of YEL023C (S000000749) in BY background,NA,BY4741,a,NA,S000000749-KanMX,S000000749,,,,,,,,,,,,NA,,
rec265,rip1,a-haploid KanMX disruption of RIP1 (S000000750) in BY background,NA,BY4741,a,NA,S000000750-KanMX,S000000750,,,,,,,,,,,,NA,,
rec266,yel025c,a-haploid KanMX disruption of YEL025C (S000000751) in BY background,NA,BY4741,a,NA,S000000751-KanMX,S000000751,,,,,,,,,,,,NA,,
rec268,vma3,a-haploid KanMX disruption of VMA3 (S000000753) in BY background,NA,BY4741,a,NA,S000000753-KanMX,S000000753,,,,,,,,,,,,NA,,
rec269,yel028w,a-haploid KanMX disruption of YEL028W (S000000754) in BY background,NA,BY4741,a,NA,S000000754-KanMX,S000000754,,,,,,,,,,,,NA,,
rec270,bud16,a-haploid KanMX disruption of BUD16 (S000000755) in BY background,NA,BY4741,a,NA,S000000755-KanMX,S000000755,,,,,,,,,,,,"Similar to YNR027W -- slow grow, petite,no growth on drop-in media, super slow growth on -met, no growth on -lys, mates like alpha, not like mat a. Confirmed Alpha 10/15/01 -- CORRECT STRAIN CAN BE FOUND IN PLATE 121 D7",,
rec271,ecm10,a-haploid KanMX disruption of ECM10 (S000000756) in BY background,NA,BY4741,a,NA,S000000756-KanMX,S000000756,,,,,,,,,,,,NA,,
rec272,spf1,a-haploid KanMX disruption of SPF1 (S000000757) in BY background,NA,BY4741,a,NA,S000000757-KanMX,S000000757,,,,,,,,,,,,NA,,
rec274,mtc7,a-haploid KanMX disruption of MTC7 (S000000759) in BY background,NA,BY4741,a,NA,S000000759-KanMX,S000000759,,,,,,,,,,,,NA,,
rec277,anp1,a-haploid KanMX disruption of ANP1 (S000000762) in BY background,NA,BY4741,a,NA,S000000762-KanMX,S000000762,,,,,,,,,,,,slow grow,,
rec278,rad23,a-haploid KanMX disruption of RAD23 (S000000763) in BY background,NA,BY4741,a,NA,S000000763-KanMX,S000000763,,,,,,,,,,,,NA,,
rec279,utr4,a-haploid KanMX disruption of UTR4 (S000000764) in BY background,NA,BY4741,a,NA,S000000764-KanMX,S000000764,,,,,,,,,,,,NA,,
rec280,cyc7,a-haploid KanMX disruption of CYC7 (S000000765) in BY background,NA,BY4741,a,NA,S000000765-KanMX,S000000765,,,,,,,,,,,,NA,,
rec281,utr2,a-haploid KanMX disruption of UTR2 (S000000766) in BY background,NA,BY4741,a,NA,S000000766-KanMX,S000000766,,,,,,,,,,,,NA,,
rec282,yef1,a-haploid KanMX disruption of YEF1 (S000000767) in BY background,NA,BY4741,a,NA,S000000767-KanMX,S000000767,,,,,,,,,,,,NA,,
rec283,gda1,a-haploid KanMX disruption of GDA1 (S000000768) in BY background,NA,BY4741,a,NA,S000000768-KanMX,S000000768,,,,,,,,,,,,NA,,
rec284,yel043w,a-haploid KanMX disruption of YEL043W (S000000769) in BY background,NA,BY4741,a,NA,S000000769-KanMX,S000000769,,,,,,,,,,,,NA,,
rec285,ies6,a-haploid KanMX disruption of IES6 (S000000770) in BY background,NA,BY4741,a,NA,S000000770-KanMX,S000000770,,,,,,,,,,,,"super slow growth, grows slow on -lys, no growth on -met OK",,
rec286,yel045c,a-haploid KanMX disruption of YEL045C (S000000771) in BY background,NA,BY4741,a,NA,S000000771-KanMX,S000000771,,,,,,,,,,,,"Similar to cytochrome c oxidase III of T. brucei kinetoplast -- no growth on -met, super slow growth on -lys, super slow growth on drop in media",,
rec287,gly1,a-haploid KanMX disruption of GLY1 (S000000772) in BY background,NA,BY4741,a,NA,S000000772-KanMX,S000000772,,,,,,,,,,,,"L-threonine aldolase -- no growth on -met, super slow growth on -lys, super slow growth on drop in media",,
rec288,frd1,a-haploid KanMX disruption of FRD1 (S000000773) in BY background,NA,BY4741,a,NA,S000000773-KanMX,S000000773,,,,,,,,,,,,NA,,
rec289,tca17,a-haploid KanMX disruption of TCA17 (S000000774) in BY background,NA,BY4741,a,NA,S000000774-KanMX,S000000774,,,,,,,,,,,,NA,,
rec290,pau2,a-haploid KanMX disruption of PAU2 (S000000775) in BY background,NA,BY4741,a,NA,S000000775-KanMX,S000000775,,,,,,,,,,,,NA,,
rec291,rml2,a-haploid KanMX disruption of RML2 (S000000776) in BY background,NA,BY4741,a,NA,S000000776-KanMX,S000000776,,,,,,,,,,,,NA,,
rec292,vma8,a-haploid KanMX disruption of VMA8 (S000000777) in BY background,NA,BY4741,a,NA,S000000777-KanMX,S000000777,,,,,,,,,,,,NA,,
rec293,afg1,a-haploid KanMX disruption of AFG1 (S000000778) in BY background,NA,BY4741,a,NA,S000000778-KanMX,S000000778,,,,,,,,,,,,NA,,
rec294,mak10,a-haploid KanMX disruption of MAK10 (S000000779) in BY background,NA,BY4741,a,NA,S000000779-KanMX,S000000779,,,,,,,,,,,,NA,,
rec295,rpl12a,a-haploid KanMX disruption of RPL12A (S000000780) in BY background,NA,BY4741,a,NA,S000000780-KanMX,S000000780,,,,,,,,,,,,NA,,
rec297,hat2,a-haploid KanMX disruption of HAT2 (S000000782) in BY background,NA,BY4741,a,NA,S000000782-KanMX,S000000782,,,,,,,,,,,,NA,,
rec298,yel057c,a-haploid KanMX disruption of YEL057C (S000000783) in BY background,NA,BY4741,a,NA,S000000783-KanMX,S000000783,,,,,,,,,,,,NA,,
rec301,hhy1,a-haploid KanMX disruption of HHY1 (S000000785) in BY background,NA,BY4741,a,NA,S000000785-KanMX,S000000785,,,,,,,,,,,,NA,,
rec302,prb1,a-haploid KanMX disruption of PRB1 (S000000786) in BY background,NA,BY4741,a,NA,S000000786-KanMX,S000000786,,,,,,,,,,,,NA,,
rec303,cin8,a-haploid KanMX disruption of CIN8 (S000000787) in BY background,NA,BY4741,a,NA,S000000787-KanMX,S000000787,,,,,,,,,,,,NA,,
rec304,npr2,a-haploid KanMX disruption of NPR2 (S000000788) in BY background,NA,BY4741,a,NA,S000000788-KanMX,S000000788,,,,,,,,,,,,NA,,
rec305,can1,a-haploid KanMX disruption of CAN1 (S000000789) in BY background,NA,BY4741,a,NA,S000000789-KanMX,S000000789,,,,,,,,,,,,NA,,
rec306,avt2,a-haploid KanMX disruption of AVT2 (S000000790) in BY background,NA,BY4741,a,NA,S000000790-KanMX,S000000790,,,,,,,,,,,,NA,,
rec307,sit1,a-haploid KanMX disruption of SIT1 (S000000791) in BY background,NA,BY4741,a,NA,S000000791-KanMX,S000000791,,,,,,,,,,,,NA,,
rec308,hpa3,a-haploid KanMX disruption of HPA3 (S000000792) in BY background,NA,BY4741,a,NA,S000000792-KanMX,S000000792,,,,,,,,,,,,NA,,
rec309,yel067c,a-haploid KanMX disruption of YEL067C (S000000793) in BY background,NA,BY4741,a,NA,S000000793-KanMX,S000000793,,,,,,,,,,,,NA,,
rec310,yel068c,a-haploid KanMX disruption of YEL068C (S000000794) in BY background,NA,BY4741,a,NA,S000000794-KanMX,S000000794,,,,,,,,,,,,NA,,
rec313,dld3,a-haploid KanMX disruption of DLD3 (S000000797) in BY background,NA,BY4741,a,NA,S000000797-KanMX,S000000797,,,,,,,,,,,,NA,,
rec314,rmd6,a-haploid KanMX disruption of RMD6 (S000000798) in BY background,NA,BY4741,a,NA,S000000798-KanMX,S000000798,,,,,,,,,,,,Hypothetical protein -- mates like alpha PCR mating type alpha,,
rec322,mnn1,a-haploid KanMX disruption of MNN1 (S000000803) in BY background,NA,BY4741,a,NA,S000000803-KanMX,S000000803,,,,,,,,,,,,NA,,
rec323,nop16,a-haploid KanMX disruption of NOP16 (S000000804) in BY background,NA,BY4741,a,NA,S000000804-KanMX,S000000804,,,,,,,,,,,,NA,,
rec325,fmp52,a-haploid KanMX disruption of FMP52 (S000000806) in BY background,NA,BY4741,a,NA,S000000806-KanMX,S000000806,,,,,,,,,,,,NA,,
rec326,ynd1,a-haploid KanMX disruption of YND1 (S000000807) in BY background,NA,BY4741,a,NA,S000000807-KanMX,S000000807,,,,,,,,,,,,NA,,
rec328,tma20,a-haploid KanMX disruption of TMA20 (S000002957) in BY background,NA,BY4741,a,NA,S000002957-KanMX,S000002957,,,,,,,,,,,,NA,,
rec329,pac2,a-haploid KanMX disruption of PAC2 (S000000809) in BY background,NA,BY4741,a,NA,S000000809-KanMX,S000000809,,,,,,,,,,,,NA,,
rec332,yer010c,a-haploid KanMX disruption of YER010C (S000000812) in BY background,NA,BY4741,a,NA,S000000812-KanMX,S000000812,,,,,,,,,,,,NA,,
rec333,tir1,a-haploid KanMX disruption of TIR1 (S000000813) in BY background,NA,BY4741,a,NA,S000000813-KanMX,S000000813,,,,,,,,,,,,NA,,
rec336,hem14,a-haploid KanMX disruption of HEM14 (S000000816) in BY background,NA,BY4741,a,NA,S000000816-KanMX,S000000816,,,,,,,,,,,,"slow growth, petite,slow growth on drop-in media",,
rec338,pau8,a-haploid KanMX disruption of PAU8 (S000002142) in BY background,NA,BY4741,a,NA,S000002142-KanMX,S000002142,,,,,,,,,,,,NA,,
rec339,seo1,a-haploid KanMX disruption of SEO1 (S000000062) in BY background,NA,BY4741,a,NA,S000000062-KanMX,S000000062,,,,,,,,,,,,NA,,
rec340,yal066w,a-haploid KanMX disruption of YAL066W (S000000061) in BY background,NA,BY4741,a,NA,S000000061-KanMX,S000000061,,,,,,,,,,,,NA,,
rec341,yal065c,a-haploid KanMX disruption of YAL065C (S000001817) in BY background,NA,BY4741,a,NA,S000001817-KanMX,S000001817,,,,,,,,,,,,NA,,
rec345,gdh3,a-haploid KanMX disruption of GDH3 (S000000058) in BY background,NA,BY4741,a,NA,S000000058-KanMX,S000000058,,,,,,,,,,,,NA,,
rec346,bdh2,a-haploid KanMX disruption of BDH2 (S000000057) in BY background,NA,BY4741,a,NA,S000000057-KanMX,S000000057,,,,,,,,,,,,NA,,
rec347,bdh1,a-haploid KanMX disruption of BDH1 (S000000056) in BY background,NA,BY4741,a,NA,S000000056-KanMX,S000000056,,,,,,,,,,,,NA,,
rec348,ecm1,a-haploid KanMX disruption of ECM1 (S000000055) in BY background,NA,BY4741,a,NA,S000000055-KanMX,S000000055,,,,,,,,,,,,NA,,
rec349,cne1,a-haploid KanMX disruption of CNE1 (S000000054) in BY background,NA,BY4741,a,NA,S000000054-KanMX,S000000054,,,,,,,,,,,,NA,,
